Symbol,Company Name,Sector,Industry,,,
JETS,JETWING SYMPHONY PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
JFP,JF PACKAGING LIMITED,Process Industries,Containers/Packaging,,,
JKH,JOHN KEELLS HOLDINGS PLC,Retail Trade,Food Retail,,,
KHL,JOHN KEELLS HOTELS PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
JKL,JOHN KEELLS PLC,Finance,Investment Bank/Broker,,,
KAHA,KAHAWATTE PLANTATIONS PLC,Process Industries,Agricultural Commodities/Milling,,,
KPHL,KAPRUKA HOLDINGS PLC,Retail Trade,Electronics/Appliance Stores,,,
KFP,KEELLS FOOD PRODUCTS PLC,Distribution Services,Food Distributors,,,
KGAL,KEGALLE PLANTATIONS PLC,Process Industries,Agricultural Commodities/Milling,,,
KCAB,KELANI CABLES PLC,Producer Manufacturing,Electrical Products,,,
TYRE,KELANI TYRES PLC,Consumer Durables,Automotive Aftermarket,,,
KVAL,KELANI VALLEY PLANTATIONS PLC,Process Industries,Agricultural Commodities/Milling,,,
CPRT,KERNER HAUS GLOBAL SOLUTIONS PLC,Commercial Services,Commercial Printing/Forms,,,
KOTA,KOTAGALA PLANTATIONS PLC,Non-Energy Minerals,Forest Products,,,
LAMB,KOTMALE HOLDINGS PLC,Consumer Non-Durables,Food: Meat/Fish/Dairy,,,
LOLC,L O L C HOLDINGS PLC,Finance,Finance/Rental/Leasing,,,
LVEF,L V L ENERGY FUND PLC,Finance,Financial Conglomerates,,,
LPRT,LAKE HOUSE PRINTERS & PUBLISHERS PLC,Commercial Services,Commercial Printing/Forms,,,
LALU,LANKA ALUMINIUM INDUSTRIES PLC,Non-Energy Minerals,Aluminum,,,
ASHO,LANKA ASHOK LEYLAND PLC,Consumer Durables,Motor Vehicles,,,
CERA,LANKA CERAMIC PLC,Consumer Durables,Home Furnishings,,,
LCBF,LANKA CREDIT AND BUSINESS FINANCE PLC,Finance,Finance/Rental/Leasing,,,
LIOC,LANKA IOC PLC,Distribution Services,Wholesale Distributors,,,
LMF,LANKA MILK FOODS (CWE) PLC,Consumer Non-Durables,Food: Meat/Fish/Dairy,,,
ASCO,LANKA REALTY INVESTMENTS PLC,Non-Energy Minerals,Construction Materials,,,
TILE,LANKA TILES PLC,Producer Manufacturing,Building Products,,,
LVEN,LANKA VENTURES PLC,Miscellaneous,Investment Trusts/Mutual Funds,,,
LWL,LANKA WALLTILE PLC,Producer Manufacturing,Building Products,,,
LCEY,LANKEM CEYLON PLC,Process Industries,Chemicals: Specialty,,,
LDEV,LANKEM DEVELOPMENTS PLC,Consumer Non-Durables,Food: Major Diversified,,,
LGL,LAUGFS GAS PLC,Distribution Services,Wholesale Distributors,,,
LPL,LAUGFS POWER PLC,Utilities,Alternative Power Generation,,,
LITE,LAXAPANA PLC,Producer Manufacturing,Electrical Products,,,
LFIN,LB FINANCE PLC,Finance,Investment Bank/Broker,,,
SHAW,LEE HEDGES PLC,Finance,Real Estate Development,,,
LION,LION BREWERY (CEYLON) PLC,Consumer Non-Durables,Beverages: Alcoholic,,,
LOFC,LOLC FINANCE PLC,Finance,Finance/Rental/Leasing,,,
LGIL,LOLC GENERAL INSURANCE PLC,Finance,Multi-Line Insurance,,,
HPFL,LOTUS HYDRO POWER PLC,Utilities,Electric Utilities,,,
LUMX,LUMINEX PLC,Industrial Services,Engineering & Construction,,,
MADU,MADULSIMA PLANTATIONS PLC,Process Industries,Agricultural Commodities/Milling,,,
MFPE,MAHARAJA FOODS PLC,Process Industries,Agricultural Commodities/Milling,,,
MCPL,MAHAWELI COCONUT PLANTATIONS PLC,Process Industries,Agricultural Commodities/Milling,,,
MRH,MAHAWELI REACH HOTELS PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
MAL,MALWATTE VALLEY PLANTATION PLC,Process Industries,Agricultural Commodities/Milling,,,
MARA,MARAWILA RESORTS PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
MASK,MASKELIYA PLANTATIONS PLC,Process Industries,Agricultural Commodities/Milling,,,
MELS,MELSTACORP PLC,Consumer Non-Durables,Beverages: Alcoholic,,,
MERC,MERCANTILE INVESTMENTS AND FINANCE PLC,Finance,Finance/Rental/Leasing,,,
MSL,MERCANTILE SHIPPING COMPANY PLC,Transportation,Marine Shipping,,,
MBSL,MERCHANT BANK OF SRI LANKA & FINANCE PLC,Finance,Regional Bank,,,
MHDL,MILLENNIUM HOUSING DEVELOPERS PLC,Consumer Durables,Homebuilding,,,
MULL,MULLER & PHIPPS (CEYLON) PLC,Health Technology,Pharmaceuticals: Major,,,
MDL,MYLAND DEVELOPMENTS PLC,Finance,Real Estate Development,,,
NAMU,NAMUNUKULA PLANTATIONS PLC,Process Industries,Agricultural Commodities/Milling,,,
NDB,NATIONAL DEVELOPMENT BANK PLC,Finance,Major Bank,,,
NTB,NATIONS TRUST BANK PLC,Finance,Major Bank,,,
NHL,NAWALOKA HOSPITALS PLC,Health Services,Hospital/Nursing Management,,,
ODEL,ODEL PLC,Retail Trade,Apparel/Footwear Retail,,,
OFEQ,OFFICE EQUIPMENT PLC,Distribution Services,Wholesale Distributors,,,
ONAL,ON'ALLY HOLDINGS PLC,Finance,Real Estate Development,,,
OSEA,OVERSEAS REALTY (CEYLON) PLC,Finance,Real Estate Development,,,
PALM,PALM GARDEN HOTELS PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
PABC,PAN ASIA BANKING CORPORATION PLC,Finance,Regional Bank,,,
PAP,PANASIAN POWER PLC,Utilities,Electric Utilities,,,
PARA,PARAGON CEYLON PLC,Producer Manufacturing,Office Equipment/Supplies,,,
PEG,PEGASUS HOTELS OF CEYLON PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
PINS,PEOPLE'S INSURANCE PLC,Finance,Multi-Line Insurance,,,
PLC,PEOPLE'S LEASING & FINANCE PLC,Finance,Finance/Rental/Leasing,,,
GLAS,PGP GLASS CEYLON PLC,Process Industries,Containers/Packaging,,,
PMB,PMF FINANCE PLC,Finance,Finance/Rental/Leasing,,,
PLR,PRIME LANDS RESIDENCIES PLC,Finance,Real Estate Development,,,
CARE,PRINTCARE PLC,Commercial Services,Commercial Printing/Forms,,,
RIL,R I L PROPERTY PLC,Finance,Real Estate Development,,,
RGEM,RADIANT GEMS INTERNATIONAL PLC,Consumer Durables,Other Consumer Specialties,,,
RWSL,RAIGAM WAYAMBA SALTERNS PLC,Consumer Non-Durables,Food: Specialty/Candy,,,
RFL,RAMBODA FALLS PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
RAL,RENUKA AGRI FOODS PLC,Consumer Non-Durables,Food: Specialty/Candy,,,
RENU,RENUKA CITY HOTELS PLC.,Consumer Services,Hotels/Resorts/Cruise lines,,,
COCO,RENUKA FOODS PLC,Producer Manufacturing,Miscellaneous Manufacturing,,,
RHL,RENUKA HOLDINGS PLC,Miscellaneous,Investment Trusts/Mutual Funds,,,
RCH,RENUKA HOTELS PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
HPWR,RESUS ENERGY PLC,Utilities,Electric Utilities,,,
RICH,RICHARD PIERIS AND COMPANY PLC,Producer Manufacturing,Miscellaneous Manufacturing,,,
REXP,RICHARD PIERIS EXPORTS PLC,Producer Manufacturing,Miscellaneous Manufacturing,,,
RCL,ROYAL CERAMICS LANKA PLC,Producer Manufacturing,Building Products,,,
RPBH,ROYAL PALMS BEACH HOTELS PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
SAMP,SAMPATH BANK PLC,Finance,Major Bank,,,
SIL,SAMSON INTERNATIONAL PLC,Process Industries,Industrial Specialties,,,
SDB,SANASA DEVELOPMENT BANK PLC,Finance,Regional Bank,,,
SDF,SARVODAYA DEVELOPMENT FINANCE PLC,Finance,Finance/Rental/Leasing,,,
SMOT,SATHOSA MOTORS PLC,Distribution Services,Wholesale Distributors,,,
SFCL,SENKADAGALA FINANCE COMPANY PLC,Finance,Finance/Rental/Leasing,,,
SHOT,SERENDIB HOTELS PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
SLND,SERENDIB LAND PLC,Finance,Real Estate Development,,,
SEYB,SEYLAN BANK PLC,Finance,Regional Bank,,,
CSD,SEYLAN DEVELOPMENTS PLC,Finance,Real Estate Development,,,
SIRA,SIERRA CABLES PLC,Electronic Technology,Telecommunications Equipment,,,
SIGV,SIGIRIYA VILLAGE HOTELS PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
SINS,SINGER (SRI LANKA) PLC,Retail Trade,Electronics/Appliance Stores,,,
SFIN,SINGER FINANCE LANKA PLC,Finance,Finance/Rental/Leasing,,,
SINH,SINGHE HOSPITALS PLC,Health Services,Hospital/Nursing Management,,,
SEMB,SMB FINANCE PLC,Finance,Finance/Rental/Leasing,,,
SCAP,SOFTLOGIC CAPITAL PLC,Finance,Life/Health Insurance,,,
CRL,SOFTLOGIC FINANCE PLC,Finance,Finance/Rental/Leasing,,,
SHL,SOFTLOGIC HOLDINGS PLC,Retail Trade,Electronics/Appliance Stores,,,
AAIC,SOFTLOGIC LIFE INSURANCE PLC,Finance,Life/Health Insurance,,,
SLTL,SRI LANKA TELECOM PLC,Communications,Major Telecommunications,,,
SUN,SUNSHINE HOLDINGS PLC,Retail Trade,Drugstore Chains,,,
SWAD,SWADESHI INDUSTRIAL WORKS PLC,Consumer Non-Durables,Household/Personal Care,,,
PARQ,SWISSTEK (CEYLON) PLC,Non-Energy Minerals,Aluminum,,,
TAJ,TAL LANKA HOTELS PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
TPL,TALAWAKELLE TEA ESTATES PLC,Consumer Non-Durables,Food: Major Diversified,,,
TANG,TANGERINE BEACH HOTELS PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
TSML,TEA SMALLHOLDER FACTORIES PLC,Consumer Non-Durables,Food: Specialty/Candy,,,
TJL,TEEJAY LANKA PLC,Consumer Non-Durables,Apparel/Footwear,,,
TESS,TESS AGRO PLC,Commercial Services,Miscellaneous Commercial Services,,,
AUTO,THE AUTODROME PLC,Distribution Services,Wholesale Distributors,,,
CFLB,THE COLOMBO FORT LAND AND BUILDING PLC,Finance,Real Estate Development,,,
RHTL,THE FORTRESS RESORTS PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
KHC,THE KANDY HOTELS COMPANY (1938) PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
SERV,THE KINGSBURY PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
LHCL,THE LANKA HOSPITALS CORPORATION PLC,Health Services,Hospital/Nursing Management,,,
LHL,THE LIGHTHOUSE HOTEL PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
NEH,THE NUWARA ELIYA HOTELS COMPANY PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
TAFL,THREE ACRE FARMS PLC,Process Industries,Agricultural Commodities/Milling,,,
TKYO,TOKYO CEMENT COMPANY (LANKA) PLC,Non-Energy Minerals,Construction Materials,,,
TRAN,TRANS ASIA HOTELS PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
UBF,UB FINANCE PLC,Finance,Finance/Rental/Leasing,,,
UDPL,UDAPUSSELLAWA PLANTATIONS PLC,Consumer Non-Durables,Food: Major Diversified,,,
UAL,UNION ASSURANCE PLC,Finance,Life/Health Insurance,,,
UBC,UNION BANK OF COLOMBO PLC,Finance,Major Bank,,,
UCAR,UNION CHEMICALS LANKA PLC,Process Industries,Industrial Specialties,,,
UML,UNITED MOTORS LANKA PLC,Retail Trade,Specialty Stores,,,
VFIN,VALLIBEL FINANCE PLC,Finance,Finance/Rental/Leasing,,,
VONE,VALLIBEL ONE PLC,Distribution Services,Wholesale Distributors,,,
VPEL,VALLIBEL POWER ERATHNA PLC,Utilities,Electric Utilities,,,
VLL,VIDULLANKA PLC,Utilities,Electric Utilities,,,
CITW,WASKADUWA BEACH RESORT PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
WATA,WATAWALA PLANTATION PLC,Consumer Non-Durables,Food: Major Diversified,,,
WIND,WINDFORCE PLC,Utilities,Alternative Power Generation,,,
YORK,YORK ARCADE HOLDINGS PLC,Finance,Real Estate Development,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,284,276
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,278
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
